region,fishID,total.length,dN,dC
TAM,egm102,17.1,10.9679,-15.937
TAM,mul313,17.3,9.8519,-14.3781
TAM,egm107,18.3,10.8389,-15.4645
TAM,mul321,18.7,10.13675,-14.6423
TAM,egm108,19,9.4357,-14.4501
TAM,egm117,19.4,10.7453,-15.4088
TAM,mul309,20,10.338,-15.0411
TAM,mul307,21.2,10.8356,-14.2958
TAM,egm101,21.3,11.6512,-15.8102
TAM,mul304,21.7,10.965,-15.7075
TAM,mul306,22.2,10.4947,-13.9044
TAM,egm112,22.9,9.9551,-15.2989
TAM,mul302,23.2,9.119,-11.6948
TAM,egm106,23.4,11.2897,-15.5096
TAM,mul315,24.3,10.9929,-14.7369
TAM,egm105,25.4,10.2276,-14.3417
TAM,egm110,25.5,11.2178,-15.3646
SAR,sar309,15.6,9.04,-12.24
SAR,sar120,18.2,6.51,-13.39
SAR,sar111,19.7,9.73,-14.2
SAR,sar155,23.2,9.88,-14.94
SAR,sar150,12,9.3995,-13.027
SAR,sar321,13.7,8.8192,-13.511
SAR,sar320,13.9,7.7821,-13.764
SAR,sar303,14,9.22,-13.9657
SAR,sar324,14.1,8.81,-14.545
SAR,sar316,14.9,9.4485,-13.8923
SAR,sar306,15.5,8.4338,-13.6166
SAR,sar310,15.8,10.8215,-15.6229
SAR,sar315,16.2,7.6577,-12.9473
SAR,sar314,16.8,9.43635,-14.23275
SAR,sar326,16.9,9.621,-14.923
SAR,sar330,17,9,-14.4652
SAR,sar044,18,9.9852,-14.304
SAR,sar117,18.5,9.6804,-14.2611
SAR,sar037,19.2,9.073,-12.9842
SAR,sar108,20.4,10.5656,-15.089
SAR,sar151,20.5,9.6298,-11.6631
SAR,sar301,20.5,10.13,-15.3534
SAR,sar156,21,8.4383,-9.5286
SAR,sar222,21.2,11.6327,-15.1399
SAR,sar149,21.9,9.7133,-13.4179
SAR,sar118,22.6,10.2673,-13.6877
SAR,sar112,23,9.5963,-13.5631
SAR,sar302,23.2,11.198,-14.6882
SAR,sar116,24,10.627,-14.7628
SAR,sar153,24.7,11.3321,-13.6993
SAR,sar110,24.8,11.0055,-14.4868
SAR,sar107,25,9.9636,-13.8147
PIS,jug256,14.6,10.24,-15.07
PIS,jug301,20.9,10.09,-13.74
PIS,red216,10.3,11.1645,-15.258
PIS,red210,11.2,10.353,-14.8958
PIS,red201,11.6,11.3637,-15.1956
